text,word_count,char_count
"Нужно написать telegram-bot на симфони для учета расходов и доходов. Бери последнюю версию симфони.
База данных для самого бота - sqlite.

Данные по расходам ведутся в google spreadsheet, на отдельной вкладке ""Транзакции"". Первая строчка для ввода данных - 5. По столбцам:
B - дата расхода
C - сумма расхода
D - описание расхода
E - категория расхода (из заданного списка)
G - дата дохода
H - сумма дохода
I - описание дохода
J - категория дохода (из заданного списка)

На каждый месяц отдельная таблица.

Для бота нужны команды:
/list - список всех таблиц со ссылками

Новые записи будут добавляться следующими текстовыми сообщениями:
[дата в любом формате] [+]сумма описание
дата может быть в любом формате - ""вчера"", ""12 декабря"", ""12.05"". По умолчанию ""сегодня"".

[+] - значит доход, если не указано - расход

Сумма может быть с копейками с разделителем точкой или запятой. 

Из описания нужно вычленять категорию, нужно добавить некий справочник соответствий, чтобы ""еда"", ""готовая еда"", ""продукты"" и прочее относить к категории. Если категория неизвестна - нужно уточнить её у пользователя.

Как и у любого бота, тут может быть множество пользователей телеграма.

Нужно использовать докер для разворачивания проекта локально (минимальный).
Это будет opensource проект, так что веди подробный readme.",198,1305
"Список категорий находится на листе ""Сводка"", начиная с 28 строки. столбец B - расходы, стоблец H - доходы. Соответственно, нужно справочник категорий и соответствий им вести в БД для каждого пользователя в отдельности. Но тем не менее иметь дефолтные настройки, общие для всех. Основные категории по умолчанию такие:
*расходы*: 
Питание	
Подарки	
Здоровье/медицина	
Дом	
Транспорт	
Личные расходы	
Домашние животные	
Коммунальные услуги	
Путешествия	
Одежда	
Развлечения	
Кафе/Ресторан	
Алко	
Образование	
Услуги	
Авто	

*доходы*:
Зарплата	
Премия	
Кешбек, др. бонусы	
Процентный доход	
Инвестиции	
Другое",78,606
обнови ридми и добавь краткую инструкцию по настройке .env файла,10,64
"добавь CI - проверку код стайла, статический анализ кода, а также настрой github ci и добавь значки в ридми о прохождении проверок",22,130
"-

my username is positron48",5,28
branch for CI - master,5,22
добавь name и description в composer.json,6,41
давай запустим сервис,3,21
"добавь makefile с командами up down build, запуском CI",9,54
добавь restart,2,14
